@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S667.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S666.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,5412,557,1,0,0,1
4,2013-01-03,4983,545,1,0,0,1
5,2013-01-04,5774,603,1,0,0,1
6,2013-01-05,6660,664,1,0,0,0
7,2013-01-06,0,0,0,0,a,0
1,2013-01-07,8928,745,1,1,0,0
2,2013-01-08,7002,629,1,1,0,0
3,2013-01-09,6821,609,1,1,0,0
4,2013-01-10,7137,640,1,1,0,0
5,2013-01-11,7941,660,1,1,0,0
6,2013-01-12,6494,713,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,4579,512,1,0,0,0
2,2013-01-15,4019,438,1,0,0,0
3,2013-01-16,2342,281,1,0,0,0
4,2013-01-17,3641,391,1,0,0,0
5,2013-01-18,4052,447,1,0,0,0
6,2013-01-19,6991,688,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,9701,759,1,1,0,0
2,2013-01-22,8429,679,1,1,0,0
3,2013-01-23,7335,637,1,1,0,0
4,2013-01-24,7046,619,1,1,0,0
5,2013-01-25,7303,629,1,1,0,0
6,2013-01-26,7597,759,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,4047,442,1,0,0,0
2,2013-01-29,3709,400,1,0,0,0
3,2013-01-30,4044,417,1,0,0,0
4,2013-01-31,4921,517,1,0,0,0
5,2013-02-01,5233,548,1,0,0,0
6,2013-02-02,7447,771,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,9532,759,1,1,0,0
2,2013-02-05,7002,647,1,1,0,0
3,2013-02-06,6021,571,1,1,0,0
4,2013-02-07,6572,574,1,1,0,0
5,2013-02-08,7435,644,1,1,0,0
6,2013-02-09,7243,752,1,0,0,0
7,2013-02-10,0,0,0,0,0,0
1,2013-02-11,5134,558,1,0,0,0
