@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S36.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S35.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,6519,577,1,0,0,1
4,2013-01-03,5955,517,1,0,0,1
5,2013-01-04,6868,575,1,0,0,1
6,2013-01-05,7097,599,1,0,0,0
7,2013-01-06,0,0,0,0,0,0
1,2013-01-07,14536,953,1,1,0,0
2,2013-01-08,11508,739,1,1,0,0
3,2013-01-09,10066,687,1,1,0,0
4,2013-01-10,9909,708,1,1,0,0
5,2013-01-11,9946,769,1,1,0,0
6,2013-01-12,7284,589,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,5511,539,1,0,0,0
2,2013-01-15,5633,485,1,0,0,0
3,2013-01-16,5290,450,1,0,0,0
4,2013-01-17,6413,544,1,0,0,0
5,2013-01-18,6679,588,1,0,0,0
6,2013-01-19,5930,505,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,7393,518,1,1,0,0
2,2013-01-22,8919,670,1,1,0,0
3,2013-01-23,9572,671,1,1,0,0
4,2013-01-24,10078,712,1,1,0,0
5,2013-01-25,9889,740,1,1,0,0
6,2013-01-26,6384,552,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,6832,599,1,0,0,0
2,2013-01-29,5998,549,1,0,0,0
3,2013-01-30,6491,547,1,0,0,0
4,2013-01-31,7024,579,1,0,0,0
5,2013-02-01,7998,650,1,0,0,0
6,2013-02-02,8074,620,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,14710,938,1,1,0,0
2,2013-02-05,10115,741,1,1,0,0
3,2013-02-06,10266,728,1,1,0,0
4,2013-02-07,9434,736,1,1,0,0
5,2013-02-08,9017,717,1,1,0,0
6,2013-02-09,7269,596,1,0,0,0
7,2013-02-10,0,0,0,0,0,0
1,2013-02-11,6708,632,1,0,0,0
2,2013-02-12,6035,541,1,0,0,0
3,2013-02-13,6119,523,1,0,0,0
4,2013-02-14,6806,627,1,0,0,0
5,2013-02-15,6888,603,1,0,0,0
6,2013-02-16,7040,577,1,0,0,0
7,2013-02-17,0,0,0,0,0,0
1,2013-02-18,14386,950,1,1,0,0
2,2013-02-19,9118,674,1,1,0,0
3,2013-02-20,8552,641,1,1,0,0
4,2013-02-21,9423,677,1,1,0,0
5,2013-02-22,9331,740,1,1,0,0
6,2013-02-23,6056,533,1,0,0,0
7,2013-02-24,0,0,0,0,0,0
1,2013-02-25,5734,558,1,0,0,0
2,2013-02-26,5144,512,1,0,0,0
3,2013-02-27,6326,517,1,0,0,0
4,2013-02-28,7174,601,1,0,0,0
5,2013-03-01,8243,668,1,0,0,0
6,2013-03-02,7060,587,1,0,0,0
7,2013-03-03,0,0,0,0,0,0
1,2013-03-04,13187,914,1,1,0,0
2,2013-03-05,9641,738,1,1,0,0
3,2013-03-06,9883,712,1,1,0,0
4,2013-03-07,10082,725,1,1,0,0
5,2013-03-08,10607,820,1,1,0,0
6,2013-03-09,6500,584,1,0,0,0
7,2013-03-10,0,0,0,0,0,0
1,2013-03-11,7623,646,1,0,0,0
2,2013-03-12,7374,599,1,0,0,0
3,2013-03-13,7648,622,1,0,0,0
4,2013-03-14,6546,587,1,0,0,0
5,2013-03-15,7728,689,1,0,0,0
6,2013-03-16,6779,591,1,0,0,0
7,2013-03-17,0,0,0,0,0,0
1,2013-03-18,14005,930,1,1,0,0
2,2013-03-19,9740,772,1,1,0,0
3,2013-03-20,9406,692,1,1,0,0
4,2013-03-21,9742,678,1,1,0,0
5,2013-03-22,10447,779,1,1,0,0
6,2013-03-23,7164,596,1,0,0,0
7,2013-03-24,0,0,0,0,0,0
1,2013-03-25,13129,925,1,1,0,1
2,2013-03-26,10927,807,1,1,0,1
3,2013-03-27,10255,759,1,1,0,1
4,2013-03-28,14140,1000,1,1,0,1
5,2013-03-29,0,0,0,1,b,1
6,2013-03-30,10903,850,1,0,0,0
7,2013-03-31,0,0,0,0,0,0
1,2013-04-01,0,0,0,0,b,1
2,2013-04-02,6470,587,1,0,0,1
3,2013-04-03,6072,574,1,0,0,1
4,2013-04-04,7399,597,1,0,0,1
5,2013-04-05,7089,595,1,0,0,1
6,2013-04-06,7705,621,1,0,0,0
7,2013-04-07,0,0,0,0,0,0
1,2013-04-08,13817,893,1,1,0,0
2,2013-04-09,11396,794,1,1,0,0
3,2013-04-10,11094,764,1,1,0,0
4,2013-04-11,9995,707,1,1,0,0
5,2013-04-12,10522,809,1,1,0,0
6,2013-04-13,6269,578,1,0,0,0
7,2013-04-14,0,0,0,0,0,0
1,2013-04-15,5560,539,1,0,0,0
2,2013-04-16,6230,540,1,0,0,0
3,2013-04-17,6379,569,1,0,0,0
4,2013-04-18,5884,553,1,0,0,0
5,2013-04-19,6783,619,1,0,0,0
6,2013-04-20,6808,611,1,0,0,0
7,2013-04-21,0,0,0,0,0,0
1,2013-04-22,12976,882,1,1,0,0
2,2013-04-23,9468,719,1,1,0,0
3,2013-04-24,8025,607,1,1,0,0
4,2013-04-25,7861,681,1,1,0,0
5,2013-04-26,9012,712,1,1,0,0
6,2013-04-27,7009,613,1,0,0,0
7,2013-04-28,0,0,0,0,0,0
1,2013-04-29,13730,939,1,1,0,0
2,2013-04-30,12230,883,1,1,0,0
3,2013-05-01,0,0,0,1,a,0
4,2013-05-02,11790,886,1,1,0,0
5,2013-05-03,9992,793,1,1,0,0
6,2013-05-04,6370,574,1,0,0,0
7,2013-05-05,0,0,0,0,0,0
1,2013-05-06,7378,665,1,0,0,0
2,2013-05-07,6901,562,1,0,0,0
3,2013-05-08,8622,769,1,0,0,0
4,2013-05-09,0,0,0,0,a,0
5,2013-05-10,9434,777,1,0,0,0
6,2013-05-11,7278,648,1,0,0,0
7,2013-05-12,0,0,0,0,0,0
1,2013-05-13,12679,848,1,1,0,0
2,2013-05-14,10173,765,1,1,0,0
3,2013-05-15,9893,711,1,1,0,0
4,2013-05-16,8736,718,1,1,0,0
5,2013-05-17,9386,730,1,1,0,0
6,2013-05-18,7170,636,1,0,0,0
7,2013-05-19,0,0,0,0,0,0
1,2013-05-20,0,0,0,0,a,0
2,2013-05-21,7801,732,1,0,0,1
3,2013-05-22,6982,616,1,0,0,0
4,2013-05-23,6146,500,1,0,0,0
5,2013-05-24,6386,621,1,0,0,0
6,2013-05-25,6253,544,1,0,0,0
7,2013-05-26,0,0,0,0,0,0
1,2013-05-27,14398,939,1,1,0,0
2,2013-05-28,9201,715,1,1,0,0
3,2013-05-29,11423,844,1,1,0,0
4,2013-05-30,0,0,0,1,a,0
5,2013-05-31,13201,961,1,1,0,0
6,2013-06-01,7577,614,1,0,0,0
7,2013-06-02,0,0,0,0,0,0
1,2013-06-03,12903,894,1,1,0,0
2,2013-06-04,9509,726,1,1,0,0
3,2013-06-05,9395,716,1,1,0,0
4,2013-06-06,9159,691,1,1,0,0
5,2013-06-07,10076,806,1,1,0,0
6,2013-06-08,7053,598,1,0,0,0
7,2013-06-09,0,0,0,0,0,0
1,2013-06-10,8081,668,1,0,0,0
2,2013-06-11,6867,624,1,0,0,0
3,2013-06-12,5666,506,1,0,0,0
4,2013-06-13,7069,635,1,0,0,0
5,2013-06-14,7208,633,1,0,0,0
6,2013-06-15,7035,573,1,0,0,0
7,2013-06-16,0,0,0,0,0,0
1,2013-06-17,13015,906,1,1,0,0
2,2013-06-18,10107,722,1,1,0,0
3,2013-06-19,8311,632,1,1,0,0
4,2013-06-20,8746,612,1,1,0,0
5,2013-06-21,10839,828,1,1,0,0
6,2013-06-22,6830,614,1,0,0,0
7,2013-06-23,0,0,0,0,0,0
1,2013-06-24,7028,609,1,0,0,0
2,2013-06-25,6504,605,1,0,0,0
3,2013-06-26,6644,582,1,0,0,0
4,2013-06-27,7088,586,1,0,0,0
5,2013-06-28,10639,815,1,0,0,0
6,2013-06-29,10435,756,1,0,0,0
7,2013-06-30,0,0,0,0,0,0
1,2013-07-01,11542,856,1,1,0,0
2,2013-07-02,10373,769,1,1,0,0
3,2013-07-03,11590,788,1,1,0,0
4,2013-07-04,10152,782,1,1,0,0
5,2013-07-05,11012,866,1,1,0,0
6,2013-07-06,7106,604,1,0,0,0
7,2013-07-07,0,0,0,0,0,0
1,2013-07-08,7372,645,1,0,0,0
2,2013-07-09,7176,606,1,0,0,0
3,2013-07-10,7403,624,1,0,0,0
4,2013-07-11,6971,619,1,0,0,0
5,2013-07-12,9127,713,1,0,0,0
6,2013-07-13,7621,604,1,0,0,0
7,2013-07-14,0,0,0,0,0,0
1,2013-07-15,16671,1017,1,1,0,0
2,2013-07-16,12844,898,1,1,0,0
3,2013-07-17,11626,774,1,1,0,0
4,2013-07-18,11401,826,1,1,0,0
5,2013-07-19,11356,879,1,1,0,0
6,2013-07-20,7923,644,1,0,0,0
7,2013-07-21,0,0,0,0,0,0
1,2013-07-22,7117,614,1,0,0,1
2,2013-07-23,6596,564,1,0,0,1
3,2013-07-24,6928,548,1,0,0,1
4,2013-07-25,6338,518,1,0,0,1
5,2013-07-26,6641,572,1,0,0,1
6,2013-07-27,6318,491,1,0,0,0
7,2013-07-28,0,0,0,0,0,0
1,2013-07-29,14261,881,1,1,0,1
2,2013-07-30,11987,778,1,1,0,1
3,2013-07-31,12461,815,1,1,0,1
4,2013-08-01,10559,749,1,1,0,1
5,2013-08-02,9801,705,1,1,0,1
6,2013-08-03,8583,640,1,0,0,0
7,2013-08-04,0,0,0,0,0,0
1,2013-08-05,7043,621,1,0,0,1
2,2013-08-06,6863,587,1,0,0,1
3,2013-08-07,6223,528,1,0,0,1
4,2013-08-08,6911,566,1,0,0,1
5,2013-08-09,7187,616,1,0,0,1
6,2013-08-10,6510,550,1,0,0,0
7,2013-08-11,0,0,0,0,0,0
1,2013-08-12,14500,944,1,1,0,1
2,2013-08-13,11020,772,1,1,0,1
3,2013-08-14,9770,697,1,1,0,1
4,2013-08-15,9412,682,1,1,0,1
5,2013-08-16,9601,727,1,1,0,1
6,2013-08-17,6369,534,1,0,0,0
7,2013-08-18,0,0,0,0,0,0
1,2013-08-19,7279,609,1,0,0,1
2,2013-08-20,6007,539,1,0,0,1
3,2013-08-21,5941,518,1,0,0,1
4,2013-08-22,6341,567,1,0,0,1
5,2013-08-23,7167,620,1,0,0,1
6,2013-08-24,6050,512,1,0,0,0
7,2013-08-25,0,0,0,0,0,0
1,2013-08-26,15176,954,1,1,0,1
2,2013-08-27,11033,779,1,1,0,1
3,2013-08-28,9905,701,1,1,0,1
4,2013-08-29,9684,727,1,1,0,1
5,2013-08-30,12022,848,1,1,0,1
6,2013-08-31,7597,610,1,0,0,0
7,2013-09-01,0,0,0,0,0,0
1,2013-09-02,8926,721,1,0,0,1
2,2013-09-03,8081,688,1,0,0,1
3,2013-09-04,7135,662,1,0,0,0
4,2013-09-05,6160,591,1,0,0,0
5,2013-09-06,7443,658,1,0,0,0
6,2013-09-07,7044,632,1,0,0,0
7,2013-09-08,0,0,0,0,0,0
1,2013-09-09,16205,1062,1,1,0,0
2,2013-09-10,10219,710,1,1,0,0
3,2013-09-11,10556,757,1,1,0,0
4,2013-09-12,9991,800,1,1,0,0
5,2013-09-13,9987,810,1,1,0,0
6,2013-09-14,6602,620,1,0,0,0
7,2013-09-15,0,0,0,0,0,0
1,2013-09-16,6982,668,1,0,0,0
2,2013-09-17,6735,602,1,0,0,0
3,2013-09-18,6224,562,1,0,0,0
4,2013-09-19,6026,565,1,0,0,0
5,2013-09-20,6705,609,1,0,0,0
6,2013-09-21,7081,609,1,0,0,0
7,2013-09-22,0,0,0,0,0,0
1,2013-09-23,12928,917,1,1,0,0
2,2013-09-24,10789,802,1,1,0,0
3,2013-09-25,8467,675,1,1,0,0
4,2013-09-26,10658,783,1,1,0,0
5,2013-09-27,9600,769,1,1,0,0
6,2013-09-28,6465,580,1,0,0,0
7,2013-09-29,0,0,0,0,0,0
1,2013-09-30,11542,843,1,0,0,0
2,2013-10-01,6592,618,1,0,0,0
3,2013-10-02,8263,727,1,0,0,0
4,2013-10-03,0,0,0,0,a,0
5,2013-10-04,10176,805,1,0,0,0
6,2013-10-05,6911,611,1,0,0,0
7,2013-10-06,0,0,0,0,0,0
1,2013-10-07,15405,971,1,1,0,0
2,2013-10-08,11309,796,1,1,0,0
3,2013-10-09,10969,766,1,1,0,0
4,2013-10-10,10533,780,1,1,0,0
5,2013-10-11,10504,735,1,1,0,0
6,2013-10-12,8220,661,1,0,0,0
7,2013-10-13,0,0,0,0,0,0
1,2013-10-14,8388,684,1,0,0,0
2,2013-10-15,7200,635,1,0,0,0
3,2013-10-16,7932,625,1,0,0,0
4,2013-10-17,6640,599,1,0,0,0
5,2013-10-18,7634,658,1,0,0,0
6,2013-10-19,6921,610,1,0,0,0
7,2013-10-20,0,0,0,0,0,0
1,2013-10-21,12130,846,1,1,0,1
2,2013-10-22,8797,665,1,1,0,1
3,2013-10-23,7871,612,1,1,0,1
4,2013-10-24,8148,618,1,1,0,1
5,2013-10-25,9583,743,1,1,0,1
6,2013-10-26,6056,550,1,0,0,0
7,2013-10-27,0,0,0,0,0,0
1,2013-10-28,5437,519,1,0,0,1
2,2013-10-29,6307,533,1,0,0,1
3,2013-10-30,6594,571,1,0,0,1
4,2013-10-31,9926,786,1,0,0,1
5,2013-11-01,0,0,0,0,a,1
6,2013-11-02,9855,743,1,0,0,0
7,2013-11-03,0,0,0,0,0,0
1,2013-11-04,13886,909,1,1,0,0
2,2013-11-05,11700,842,1,1,0,0
3,2013-11-06,10743,730,1,1,0,0
4,2013-11-07,9270,717,1,1,0,0
5,2013-11-08,10071,768,1,1,0,0
6,2013-11-09,7309,617,1,0,0,0
7,2013-11-10,0,0,0,0,0,0
1,2013-11-11,6603,605,1,0,0,0
2,2013-11-12,6311,577,1,0,0,0
3,2013-11-13,6260,566,1,0,0,0
4,2013-11-14,6490,595,1,0,0,0
5,2013-11-15,7338,632,1,0,0,0
6,2013-11-16,7420,619,1,0,0,0
7,2013-11-17,0,0,0,0,0,0
1,2013-11-18,13610,898,1,1,0,0
2,2013-11-19,10220,724,1,1,0,0
3,2013-11-20,9342,716,1,1,0,0
4,2013-11-21,9720,736,1,1,0,0
5,2013-11-22,10560,803,1,1,0,0
6,2013-11-23,7704,619,1,0,0,0
7,2013-11-24,0,0,0,0,0,0
1,2013-11-25,9178,705,1,0,0,0
2,2013-11-26,7504,592,1,0,0,0
3,2013-11-27,7415,580,1,0,0,0
4,2013-11-28,7887,684,1,0,0,0
5,2013-11-29,10842,768,1,0,0,0
6,2013-11-30,8616,678,1,0,0,0
7,2013-12-01,0,0,0,0,0,0
1,2013-12-02,15435,953,1,1,0,0
2,2013-12-03,12467,837,1,1,0,0
3,2013-12-04,11870,798,1,1,0,0
4,2013-12-05,12239,821,1,1,0,0
5,2013-12-06,10245,761,1,1,0,0
6,2013-12-07,8066,609,1,0,0,0
7,2013-12-08,0,0,0,0,0,0
1,2013-12-09,8633,679,1,0,0,0
2,2013-12-10,8353,672,1,0,0,0
3,2013-12-11,7994,619,1,0,0,0
4,2013-12-12,8788,659,1,0,0,0
5,2013-12-13,8736,716,1,0,0,0
6,2013-12-14,8265,671,1,0,0,0
7,2013-12-15,0,0,0,0,0,0
1,2013-12-16,18320,1076,1,1,0,0
2,2013-12-17,14557,940,1,1,0,0
3,2013-12-18,13191,925,1,1,0,0
4,2013-12-19,13951,945,1,1,0,0
5,2013-12-20,15362,1032,1,1,0,0
6,2013-12-21,11325,832,1,0,0,0
7,2013-12-22,0,0,0,0,0,0
1,2013-12-23,16403,1240,1,0,0,1
2,2013-12-24,4904,416,1,0,0,1
3,2013-12-25,0,0,0,0,c,1
4,2013-12-26,0,0,0,0,c,1
5,2013-12-27,8366,705,1,0,0,1
6,2013-12-28,7047,614,1,0,0,0
7,2013-12-29,0,0,0,0,0,0
1,2013-12-30,13288,977,1,0,0,1
2,2013-12-31,6289,491,1,0,0,1
3,2014-01-01,0,0,0,0,a,1
4,2014-01-02,6826,589,1,0,0,1
5,2014-01-03,8096,683,1,0,0,1
6,2014-01-04,7541,625,1,0,0,0
7,2014-01-05,0,0,0,0,0,0
1,2014-01-06,16510,1001,1,1,0,1
2,2014-01-07,13983,924,1,1,0,1
3,2014-01-08,10515,756,1,1,0,0
4,2014-01-09,9848,720,1,1,0,0
5,2014-01-10,11153,829,1,1,0,0
6,2014-01-11,7349,598,1,0,0,0
7,2014-01-12,0,0,0,0,0,0
1,2014-01-13,7237,640,1,0,0,0
2,2014-01-14,6407,592,1,0,0,0
3,2014-01-15,7161,623,1,0,0,0
4,2014-01-16,6934,560,1,0,0,0
5,2014-01-17,7431,666,1,0,0,0
6,2014-01-18,6852,609,1,0,0,0
7,2014-01-19,0,0,0,0,0,0
1,2014-01-20,15239,963,1,1,0,0
2,2014-01-21,10839,793,1,1,0,0
3,2014-01-22,9872,710,1,1,0,0
4,2014-01-23,10901,767,1,1,0,0
5,2014-01-24,9636,732,1,1,0,0
6,2014-01-25,7131,587,1,0,0,0
7,2014-01-26,0,0,0,0,0,0
1,2014-01-27,6555,576,1,0,0,0
2,2014-01-28,5931,570,1,0,0,0
3,2014-01-29,6521,543,1,0,0,0
4,2014-01-30,7451,628,1,0,0,0
5,2014-01-31,9603,723,1,0,0,0
6,2014-02-01,8047,635,1,0,0,0
7,2014-02-02,0,0,0,0,0,0
1,2014-02-03,16742,1061,1,1,0,0
2,2014-02-04,11874,844,1,1,0,0
3,2014-02-05,11133,736,1,1,0,0
4,2014-02-06,10814,801,1,1,0,0
5,2014-02-07,10251,778,1,1,0,0
6,2014-02-08,8249,650,1,0,0,0
7,2014-02-09,0,0,0,0,0,0
1,2014-02-10,7615,676,1,0,0,0
2,2014-02-11,6645,592,1,0,0,0
3,2014-02-12,6339,597,1,0,0,0
4,2014-02-13,6731,628,1,0,0,0
5,2014-02-14,8585,712,1,0,0,0
6,2014-02-15,7421,626,1,0,0,0
7,2014-02-16,0,0,0,0,0,0
1,2014-02-17,14141,975,1,1,0,0
2,2014-02-18,9724,751,1,1,0,0
3,2014-02-19,9519,722,1,1,0,0
4,2014-02-20,10506,776,1,1,0,0
5,2014-02-21,9923,753,1,1,0,0
6,2014-02-22,7071,598,1,0,0,0
7,2014-02-23,0,0,0,0,0,0
1,2014-02-24,6566,620,1,0,0,0
2,2014-02-25,6327,592,1,0,0,0
3,2014-02-26,6870,599,1,0,0,0
4,2014-02-27,6654,600,1,0,0,0
5,2014-02-28,8946,732,1,0,0,0
6,2014-03-01,7426,610,1,0,0,0
7,2014-03-02,0,0,0,0,0,0
1,2014-03-03,15376,978,1,1,0,0
2,2014-03-04,11426,844,1,1,0,0
3,2014-03-05,11594,804,1,1,0,0
4,2014-03-06,10004,764,1,1,0,0
5,2014-03-07,10147,819,1,1,0,0
6,2014-03-08,6933,633,1,0,0,0
7,2014-03-09,0,0,0,0,0,0
