@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S758.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S757.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,5127,496,1,0,0,1
4,2013-01-03,4076,409,1,0,0,1
5,2013-01-04,4912,442,1,0,0,1
6,2013-01-05,4416,394,1,0,0,0
7,2013-01-06,0,0,0,0,a,0
1,2013-01-07,12148,764,1,1,0,0
2,2013-01-08,9002,641,1,1,0,0
3,2013-01-09,7915,601,1,1,0,0
4,2013-01-10,8164,606,1,1,0,0
5,2013-01-11,10279,668,1,1,0,0
6,2013-01-12,4845,458,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,4234,471,1,0,0,0
2,2013-01-15,4248,433,1,0,0,0
3,2013-01-16,3699,382,1,0,0,0
4,2013-01-17,3104,329,1,0,0,0
5,2013-01-18,4500,431,1,0,0,0
6,2013-01-19,4011,378,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,6921,582,1,1,0,0
2,2013-01-22,5662,509,1,1,0,0
3,2013-01-23,6240,528,1,1,0,0
4,2013-01-24,5516,477,1,1,0,0
5,2013-01-25,6720,491,1,1,0,0
6,2013-01-26,4171,378,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,4835,507,1,0,0,0
2,2013-01-29,3809,392,1,0,0,0
3,2013-01-30,4038,421,1,0,0,0
4,2013-01-31,4718,459,1,0,0,0
5,2013-02-01,4649,437,1,0,0,0
6,2013-02-02,4277,396,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,7573,602,1,1,0,0
2,2013-02-05,6553,517,1,1,0,0
3,2013-02-06,4796,452,1,1,0,0
4,2013-02-07,5774,494,1,1,0,0
5,2013-02-08,6819,515,1,1,0,0
6,2013-02-09,4296,405,1,0,0,0
7,2013-02-10,0,0,0,0,0,0
1,2013-02-11,4378,443,1,0,0,0
2,2013-02-12,3658,379,1,0,0,0
3,2013-02-13,3928,403,1,0,0,0
4,2013-02-14,4665,448,1,0,0,0
5,2013-02-15,4356,402,1,0,0,0
6,2013-02-16,4584,410,1,0,0,0
7,2013-02-17,0,0,0,0,0,0
1,2013-02-18,8005,661,1,1,0,0
2,2013-02-19,6750,560,1,1,0,0
3,2013-02-20,5302,468,1,1,0,0
4,2013-02-21,5148,460,1,1,0,0
5,2013-02-22,5775,513,1,1,0,0
6,2013-02-23,4395,403,1,0,0,0
7,2013-02-24,0,0,0,0,0,0
1,2013-02-25,4579,465,1,0,0,0
2,2013-02-26,3960,389,1,0,0,0
3,2013-02-27,4319,438,1,0,0,0
4,2013-02-28,4544,449,1,0,0,0
5,2013-03-01,4836,469,1,0,0,0
6,2013-03-02,4927,447,1,0,0,0
7,2013-03-03,0,0,0,0,0,0
1,2013-03-04,7256,625,1,1,0,0
2,2013-03-05,7880,501,1,1,0,0
3,2013-03-06,5879,508,1,1,0,0
4,2013-03-07,4899,464,1,1,0,0
5,2013-03-08,5565,491,1,1,0,0
6,2013-03-09,4540,405,1,0,0,0
7,2013-03-10,0,0,0,0,0,0
1,2013-03-11,5211,437,1,0,0,0
2,2013-03-12,4092,436,1,0,0,0
3,2013-03-13,4322,405,1,0,0,0
4,2013-03-14,4506,438,1,0,0,0
5,2013-03-15,4291,416,1,0,0,0
6,2013-03-16,4279,357,1,0,0,0
7,2013-03-17,0,0,0,0,0,0
1,2013-03-18,6417,506,1,1,0,0
2,2013-03-19,6181,549,1,1,0,0
3,2013-03-20,5313,458,1,1,0,0
4,2013-03-21,5259,460,1,1,0,0
5,2013-03-22,5918,482,1,1,0,0
6,2013-03-23,3986,339,1,0,0,0
7,2013-03-24,0,0,0,0,0,0
1,2013-03-25,7098,542,1,1,0,1
2,2013-03-26,6795,539,1,1,0,1
3,2013-03-27,7354,563,1,1,0,1
4,2013-03-28,7352,592,1,1,0,1
5,2013-03-29,0,0,0,1,b,1
6,2013-03-30,6802,556,1,0,0,0
7,2013-03-31,0,0,0,0,0,0
1,2013-04-01,0,0,0,0,b,1
2,2013-04-02,4732,473,1,0,0,1
3,2013-04-03,4223,398,1,0,0,1
4,2013-04-04,4741,472,1,0,0,1
5,2013-04-05,4133,400,1,0,0,1
6,2013-04-06,4187,367,1,0,0,0
