@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S1110.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S1109.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,4576,444,1,0,0,1
4,2013-01-03,3654,392,1,0,0,1
5,2013-01-04,3596,384,1,0,0,1
6,2013-01-05,2897,279,1,0,0,0
7,2013-01-06,0,0,0,0,a,0
1,2013-01-07,8089,652,1,1,0,0
2,2013-01-08,7010,574,1,1,0,0
3,2013-01-09,6727,533,1,1,0,0
4,2013-01-10,5099,453,1,1,0,0
5,2013-01-11,5670,512,1,1,0,0
6,2013-01-12,3358,332,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,4108,445,1,0,0,0
2,2013-01-15,4189,412,1,0,0,0
3,2013-01-16,3357,346,1,0,0,0
4,2013-01-17,2670,300,1,0,0,0
5,2013-01-18,3839,419,1,0,0,0
6,2013-01-19,3984,365,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,6237,516,1,1,0,0
2,2013-01-22,6336,539,1,1,0,0
3,2013-01-23,5638,491,1,1,0,0
4,2013-01-24,4960,410,1,1,0,0
5,2013-01-25,5077,466,1,1,0,0
6,2013-01-26,3202,318,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,4075,432,1,0,0,0
2,2013-01-29,2913,296,1,0,0,0
3,2013-01-30,3902,403,1,0,0,0
4,2013-01-31,4027,421,1,0,0,0
5,2013-02-01,4209,393,1,0,0,0
6,2013-02-02,4076,338,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,7238,563,1,1,0,0
2,2013-02-05,6403,531,1,1,0,0
3,2013-02-06,5698,502,1,1,0,0
4,2013-02-07,4846,445,1,1,0,0
5,2013-02-08,5974,514,1,1,0,0
6,2013-02-09,3013,315,1,0,0,0
7,2013-02-10,0,0,0,0,0,0
1,2013-02-11,4421,485,1,0,0,1
2,2013-02-12,1773,185,1,0,0,1
3,2013-02-13,3875,402,1,0,0,1
4,2013-02-14,3693,384,1,0,0,1
5,2013-02-15,4195,373,1,0,0,1
6,2013-02-16,3557,320,1,0,0,0
7,2013-02-17,0,0,0,0,0,0
1,2013-02-18,8362,641,1,1,0,0
2,2013-02-19,6066,511,1,1,0,0
3,2013-02-20,5616,475,1,1,0,0
4,2013-02-21,5457,477,1,1,0,0
5,2013-02-22,5671,468,1,1,0,0
6,2013-02-23,3302,305,1,0,0,0
