@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S362.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S361.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,5027,577,1,0,0,1
4,2013-01-03,4481,580,1,0,0,1
5,2013-01-04,5409,652,1,0,0,1
6,2013-01-05,5056,657,1,0,0,0
7,2013-01-06,0,0,0,0,a,0
1,2013-01-07,6742,682,1,1,0,0
2,2013-01-08,6389,639,1,1,0,0
3,2013-01-09,5899,627,1,1,0,0
4,2013-01-10,5674,639,1,1,0,0
5,2013-01-11,6569,738,1,1,0,0
6,2013-01-12,6064,705,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,3460,449,1,0,0,0
2,2013-01-15,3155,430,1,0,0,0
3,2013-01-16,3418,415,1,0,0,0
4,2013-01-17,3759,477,1,0,0,0
5,2013-01-18,5029,635,1,0,0,0
6,2013-01-19,5298,638,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,6150,595,1,1,0,0
2,2013-01-22,5491,551,1,1,0,0
3,2013-01-23,5403,597,1,1,0,0
4,2013-01-24,6370,674,1,1,0,0
5,2013-01-25,7081,764,1,1,0,0
6,2013-01-26,5607,655,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,3291,451,1,0,0,0
2,2013-01-29,3754,445,1,0,0,0
3,2013-01-30,4469,501,1,0,0,0
4,2013-01-31,5484,612,1,0,0,0
5,2013-02-01,6635,732,1,0,0,1
6,2013-02-02,6633,762,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,8302,776,1,1,0,1
2,2013-02-05,7102,694,1,1,0,1
3,2013-02-06,6418,649,1,1,0,1
4,2013-02-07,6361,689,1,1,0,1
5,2013-02-08,7264,761,1,1,0,1
6,2013-02-09,5509,683,1,0,0,0
7,2013-02-10,0,0,0,0,0,0
1,2013-02-11,3657,468,1,0,0,0
2,2013-02-12,3973,503,1,0,0,0
3,2013-02-13,4452,528,1,0,0,0
4,2013-02-14,4636,558,1,0,0,0
5,2013-02-15,5319,675,1,0,0,0
6,2013-02-16,6407,734,1,0,0,0
7,2013-02-17,0,0,0,0,0,0
1,2013-02-18,8058,764,1,1,0,0
2,2013-02-19,5561,531,1,1,0,0
3,2013-02-20,6636,636,1,1,0,0
4,2013-02-21,6743,698,1,1,0,0
5,2013-02-22,7335,764,1,1,0,0
6,2013-02-23,5366,561,1,0,0,0
