@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S268.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S267.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,9089,1311,1,0,0,1
4,2013-01-03,10421,1440,1,0,0,1
5,2013-01-04,9400,1273,1,0,0,1
6,2013-01-05,10448,1458,1,0,0,0
7,2013-01-06,0,0,0,0,0,0
1,2013-01-07,8945,941,1,1,0,0
2,2013-01-08,8167,921,1,1,0,0
3,2013-01-09,8168,923,1,1,0,0
4,2013-01-10,8635,1012,1,1,0,0
5,2013-01-11,7924,974,1,1,0,0
6,2013-01-12,10538,1482,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,5706,803,1,0,0,0
2,2013-01-15,6128,753,1,0,0,0
3,2013-01-16,6046,852,1,0,0,0
4,2013-01-17,8018,1036,1,0,0,0
5,2013-01-18,6857,960,1,0,0,0
6,2013-01-19,11862,1520,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,10320,1065,1,1,0,0
2,2013-01-22,8547,913,1,1,0,0
3,2013-01-23,7954,956,1,1,0,0
4,2013-01-24,9599,1120,1,1,0,0
5,2013-01-25,8695,1064,1,1,0,0
6,2013-01-26,11172,1509,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,6359,952,1,0,0,0
2,2013-01-29,5830,773,1,0,0,0
3,2013-01-30,6830,901,1,0,0,0
4,2013-01-31,9241,1167,1,0,0,0
5,2013-02-01,9471,1132,1,0,0,0
6,2013-02-02,12716,1606,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,10438,1139,1,1,0,0
2,2013-02-05,8651,962,1,1,0,0
3,2013-02-06,9307,1082,1,1,0,0
4,2013-02-07,10255,1175,1,1,0,0
5,2013-02-08,9912,1195,1,1,0,0
6,2013-02-09,12034,1576,1,0,0,0
7,2013-02-10,0,0,0,0,0,0
1,2013-02-11,6229,824,1,0,0,0
2,2013-02-12,6317,847,1,0,0,0
3,2013-02-13,6933,939,1,0,0,0
4,2013-02-14,7304,999,1,0,0,0
5,2013-02-15,7385,1001,1,0,0,0
6,2013-02-16,11605,1575,1,0,0,0
7,2013-02-17,0,0,0,0,0,0
1,2013-02-18,9285,1024,1,1,0,0
2,2013-02-19,8060,954,1,1,0,0
3,2013-02-20,8971,971,1,1,0,0
4,2013-02-21,9444,1122,1,1,0,0
5,2013-02-22,9253,1116,1,1,0,0
6,2013-02-23,12076,1611,1,0,0,0
7,2013-02-24,0,0,0,0,0,0
1,2013-02-25,6238,839,1,0,0,0
2,2013-02-26,5654,766,1,0,0,0
3,2013-02-27,7277,893,1,0,0,0
4,2013-02-28,8617,1130,1,0,0,0
5,2013-03-01,8051,1030,1,0,0,0
6,2013-03-02,12252,1506,1,0,0,0
7,2013-03-03,0,0,0,0,0,0
1,2013-03-04,9443,975,1,1,0,0
2,2013-03-05,7889,855,1,1,0,0
3,2013-03-06,7106,817,1,1,0,0
4,2013-03-07,9960,1147,1,1,0,0
5,2013-03-08,9439,1131,1,1,0,0
6,2013-03-09,11765,1603,1,0,0,0
7,2013-03-10,0,0,0,0,0,0
1,2013-03-11,6330,840,1,0,0,0
2,2013-03-12,5710,803,1,0,0,0
3,2013-03-13,5790,824,1,0,0,0
4,2013-03-14,8854,1074,1,0,0,0
5,2013-03-15,8466,1084,1,0,0,0
6,2013-03-16,12621,1667,1,0,0,0
7,2013-03-17,0,0,0,0,0,0
1,2013-03-18,8664,901,1,1,0,0
2,2013-03-19,9093,989,1,1,0,0
3,2013-03-20,9429,1092,1,1,0,0
4,2013-03-21,11233,1260,1,1,0,0
5,2013-03-22,10754,1253,1,1,0,0
6,2013-03-23,13746,1661,1,0,0,0
7,2013-03-24,0,0,0,0,0,0
1,2013-03-25,14029,1579,1,1,0,1
2,2013-03-26,12165,1399,1,1,0,1
3,2013-03-27,12978,1521,1,1,0,1
4,2013-03-28,16650,1996,1,1,0,1
5,2013-03-29,0,0,0,1,b,1
6,2013-03-30,17328,2093,1,0,0,0
7,2013-03-31,0,0,0,0,0,0
1,2013-04-01,0,0,0,0,b,1
2,2013-04-02,8217,1144,1,0,0,1
3,2013-04-03,7543,1046,1,0,0,1
4,2013-04-04,9697,1288,1,0,0,1
5,2013-04-05,8696,1191,1,0,0,1
6,2013-04-06,9128,1236,1,0,0,0
7,2013-04-07,0,0,0,0,0,0
1,2013-04-08,10398,1158,1,1,0,1
2,2013-04-09,9150,1088,1,1,0,1
3,2013-04-10,9440,1051,1,1,0,0
4,2013-04-11,9774,1149,1,1,0,0
5,2013-04-12,8972,1146,1,1,0,0
6,2013-04-13,11029,1526,1,0,0,0
7,2013-04-14,0,0,0,0,0,0
1,2013-04-15,4857,711,1,0,0,0
2,2013-04-16,4975,727,1,0,0,0
3,2013-04-17,5578,781,1,0,0,0
4,2013-04-18,7355,1052,1,0,0,0
5,2013-04-19,7037,938,1,0,0,0
6,2013-04-20,8835,1185,1,0,0,0
7,2013-04-21,0,0,0,0,0,0
1,2013-04-22,8627,985,1,1,0,0
2,2013-04-23,8115,910,1,1,0,0
3,2013-04-24,7447,852,1,1,0,0
4,2013-04-25,8505,1006,1,1,0,0
5,2013-04-26,10070,1220,1,1,0,0
6,2013-04-27,10318,1368,1,0,0,0
7,2013-04-28,0,0,0,0,0,0
1,2013-04-29,10566,1132,1,1,0,0
2,2013-04-30,10056,1116,1,1,0,0
3,2013-05-01,0,0,0,1,a,0
4,2013-05-02,14022,1451,1,1,0,0
5,2013-05-03,9327,1091,1,1,0,0
6,2013-05-04,9264,1240,1,0,0,0
7,2013-05-05,0,0,0,0,0,0
1,2013-05-06,7332,1003,1,0,0,0
2,2013-05-07,6826,835,1,0,0,0
3,2013-05-08,9274,1205,1,0,0,0
4,2013-05-09,0,0,0,0,a,0
5,2013-05-10,11580,1520,1,0,0,1
6,2013-05-11,11291,1450,1,0,0,0
7,2013-05-12,0,0,0,0,0,0
1,2013-05-13,9445,1058,1,1,0,0
2,2013-05-14,9076,1000,1,1,0,0
3,2013-05-15,8113,902,1,1,0,0
4,2013-05-16,8835,1109,1,1,0,0
5,2013-05-17,7436,911,1,1,0,0
6,2013-05-18,10521,1408,1,0,0,0
7,2013-05-19,0,0,0,0,0,0
1,2013-05-20,0,0,0,0,a,0
2,2013-05-21,9487,1150,1,0,0,0
3,2013-05-22,9212,1139,1,0,0,0
4,2013-05-23,7365,1103,1,0,0,0
5,2013-05-24,7586,980,1,0,0,0
6,2013-05-25,12363,1600,1,0,0,0
7,2013-05-26,0,0,0,0,0,0
1,2013-05-27,9300,1062,1,1,0,0
2,2013-05-28,7936,936,1,1,0,0
3,2013-05-29,11026,1214,1,1,0,0
4,2013-05-30,10988,1220,1,1,0,0
5,2013-05-31,9742,1108,1,1,0,0
6,2013-06-01,9720,1231,1,0,0,0
7,2013-06-02,0,0,0,0,0,0
1,2013-06-03,8568,973,1,1,0,0
2,2013-06-04,8039,914,1,1,0,0
3,2013-06-05,7432,864,1,1,0,0
4,2013-06-06,9758,1095,1,1,0,0
5,2013-06-07,8127,969,1,1,0,0
6,2013-06-08,8150,1043,1,0,0,0
7,2013-06-09,0,0,0,0,0,0
1,2013-06-10,6833,889,1,0,0,0
2,2013-06-11,6175,781,1,0,0,0
3,2013-06-12,6465,821,1,0,0,0
4,2013-06-13,10792,1413,1,0,0,0
5,2013-06-14,7771,1007,1,0,0,0
6,2013-06-15,11033,1406,1,0,0,0
7,2013-06-16,0,0,0,0,0,0
1,2013-06-17,9872,1043,1,1,0,0
2,2013-06-18,7996,874,1,1,0,0
3,2013-06-19,8209,932,1,1,0,0
4,2013-06-20,9414,1080,1,1,0,0
5,2013-06-21,10087,1154,1,1,0,0
6,2013-06-22,10022,1253,1,0,0,0
7,2013-06-23,0,0,0,0,0,0
1,2013-06-24,8075,1017,1,0,0,1
2,2013-06-25,6561,871,1,0,0,1
3,2013-06-26,7733,945,1,0,0,1
4,2013-06-27,9910,1274,1,0,0,1
5,2013-06-28,11157,1328,1,0,0,1
6,2013-06-29,12044,1469,1,0,0,0
7,2013-06-30,0,0,0,0,0,0
1,2013-07-01,13145,1338,1,1,0,1
2,2013-07-02,9345,1004,1,1,0,1
3,2013-07-03,10835,1218,1,1,0,1
4,2013-07-04,11864,1354,1,1,0,1
5,2013-07-05,9406,1057,1,1,0,1
6,2013-07-06,7426,923,1,0,0,0
7,2013-07-07,0,0,0,0,0,0
1,2013-07-08,6873,838,1,0,0,1
2,2013-07-09,6064,778,1,0,0,1
3,2013-07-10,7192,952,1,0,0,1
4,2013-07-11,8588,1056,1,0,0,1
5,2013-07-12,6582,835,1,0,0,1
6,2013-07-13,8005,984,1,0,0,0
7,2013-07-14,0,0,0,0,0,0
1,2013-07-15,13002,1364,1,1,0,1
2,2013-07-16,8790,986,1,1,0,1
3,2013-07-17,7528,871,1,1,0,1
4,2013-07-18,9009,1073,1,1,0,1
5,2013-07-19,8692,981,1,1,0,1
6,2013-07-20,6491,856,1,0,0,0
7,2013-07-21,0,0,0,0,0,0
1,2013-07-22,6485,890,1,0,0,1
2,2013-07-23,5980,784,1,0,0,1
3,2013-07-24,6312,868,1,0,0,1
4,2013-07-25,8866,1256,1,0,0,1
5,2013-07-26,6800,851,1,0,0,1
6,2013-07-27,7492,977,1,0,0,0
7,2013-07-28,0,0,0,0,0,0
1,2013-07-29,11980,1286,1,1,0,1
2,2013-07-30,11326,1247,1,1,0,1
3,2013-07-31,12184,1348,1,1,0,1
4,2013-08-01,12717,1563,1,1,0,1
5,2013-08-02,8660,1014,1,1,0,1
6,2013-08-03,10261,1358,1,0,0,0
7,2013-08-04,0,0,0,0,0,0
1,2013-08-05,7740,1073,1,0,0,0
2,2013-08-06,7286,990,1,0,0,0
3,2013-08-07,6919,920,1,0,0,0
4,2013-08-08,9843,1339,1,0,0,0
5,2013-08-09,7382,974,1,0,0,0
6,2013-08-10,9761,1372,1,0,0,0
7,2013-08-11,0,0,0,0,0,0
1,2013-08-12,12576,1389,1,1,0,0
2,2013-08-13,10164,1161,1,1,0,0
3,2013-08-14,8790,1048,1,1,0,0
4,2013-08-15,10099,1206,1,1,0,0
5,2013-08-16,8022,1031,1,1,0,0
6,2013-08-17,10590,1444,1,0,0,0
7,2013-08-18,0,0,0,0,0,0
1,2013-08-19,6587,929,1,0,0,0
2,2013-08-20,5932,816,1,0,0,0
3,2013-08-21,5766,799,1,0,0,0
