@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S208.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S207.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,11442,1407,1,0,0,1
4,2013-01-03,9144,1236,1,0,0,1
5,2013-01-04,9287,1123,1,0,0,1
6,2013-01-05,8571,1048,1,0,0,0
7,2013-01-06,0,0,0,0,0,0
1,2013-01-07,20041,1879,1,1,0,0
2,2013-01-08,13798,1431,1,1,0,0
3,2013-01-09,11141,1257,1,1,0,0
4,2013-01-10,10947,1318,1,1,0,0
5,2013-01-11,10436,1204,1,1,0,0
6,2013-01-12,7967,966,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,7921,1138,1,0,0,0
2,2013-01-15,8013,1101,1,0,0,0
3,2013-01-16,8719,1159,1,0,0,0
4,2013-01-17,8432,1155,1,0,0,0
5,2013-01-18,8392,1079,1,0,0,0
6,2013-01-19,7646,962,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,17516,1724,1,1,0,0
2,2013-01-22,13245,1418,1,1,0,0
3,2013-01-23,12124,1366,1,1,0,0
4,2013-01-24,10428,1244,1,1,0,0
5,2013-01-25,10720,1273,1,1,0,0
6,2013-01-26,6734,903,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,7638,1078,1,0,0,0
2,2013-01-29,8259,1122,1,0,0,0
3,2013-01-30,8109,1046,1,0,0,0
4,2013-01-31,8570,1112,1,0,0,0
5,2013-02-01,10100,1260,1,0,0,0
6,2013-02-02,9033,1096,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,18308,1752,1,1,0,0
2,2013-02-05,13540,1391,1,1,0,0
3,2013-02-06,11667,1343,1,1,0,0
4,2013-02-07,11368,1332,1,1,0,0
5,2013-02-08,10338,1275,1,1,0,0
6,2013-02-09,7444,952,1,0,0,0
7,2013-02-10,0,0,0,0,0,0
1,2013-02-11,9885,1313,1,0,0,0
2,2013-02-12,6685,894,1,0,0,0
3,2013-02-13,9587,1284,1,0,0,0
4,2013-02-14,9220,1211,1,0,0,0
5,2013-02-15,8551,1138,1,0,0,0
6,2013-02-16,7891,978,1,0,0,0
7,2013-02-17,0,0,0,0,0,0
1,2013-02-18,18387,1828,1,1,0,0
2,2013-02-19,13038,1394,1,1,0,0
3,2013-02-20,12294,1407,1,1,0,0
4,2013-02-21,9983,1219,1,1,0,0
5,2013-02-22,10753,1262,1,1,0,0
6,2013-02-23,7103,925,1,0,0,0
7,2013-02-24,0,0,0,0,0,0
