@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S283.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S282.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,4207,635,1,0,0,1
4,2013-01-03,3700,586,1,0,0,1
5,2013-01-04,3626,546,1,0,0,1
6,2013-01-05,3069,481,1,0,0,0
7,2013-01-06,0,0,0,0,0,0
1,2013-01-07,5946,777,1,1,0,0
2,2013-01-08,5650,761,1,1,0,0
3,2013-01-09,4760,668,1,1,0,0
4,2013-01-10,4328,673,1,1,0,0
5,2013-01-11,5103,659,1,1,0,0
6,2013-01-12,2800,406,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,3864,623,1,0,0,0
2,2013-01-15,3943,638,1,0,0,0
3,2013-01-16,3604,561,1,0,0,0
4,2013-01-17,3755,614,1,0,0,0
5,2013-01-18,3347,509,1,0,0,0
6,2013-01-19,2633,426,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,5869,728,1,1,0,0
2,2013-01-22,4891,656,1,1,0,0
3,2013-01-23,4195,641,1,1,0,0
4,2013-01-24,4371,669,1,1,0,0
5,2013-01-25,4634,672,1,1,0,0
6,2013-01-26,2682,414,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,3493,590,1,0,0,0
2,2013-01-29,3407,587,1,0,0,0
3,2013-01-30,3719,587,1,0,0,0
4,2013-01-31,4550,662,1,0,0,0
5,2013-02-01,4137,609,1,0,0,0
6,2013-02-02,2826,453,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,6153,762,1,1,0,1
2,2013-02-05,5086,683,1,1,0,1
3,2013-02-06,5174,735,1,1,0,1
4,2013-02-07,4620,684,1,1,0,1
5,2013-02-08,4158,607,1,1,0,1
6,2013-02-09,3024,457,1,0,0,0
7,2013-02-10,0,0,0,0,0,0
1,2013-02-11,4009,681,1,0,0,0
2,2013-02-12,3638,594,1,0,0,0
3,2013-02-13,3829,585,1,0,0,0
4,2013-02-14,3924,628,1,0,0,0
5,2013-02-15,3776,556,1,0,0,0
6,2013-02-16,3149,457,1,0,0,0
7,2013-02-17,0,0,0,0,0,0
