@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S725.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S724.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,6376,694,1,0,0,1
4,2013-01-03,5942,673,1,0,0,1
5,2013-01-04,5621,665,1,0,0,1
6,2013-01-05,4955,551,1,0,0,0
7,2013-01-06,0,0,0,0,0,0
1,2013-01-07,9374,923,1,1,0,0
2,2013-01-08,7444,728,1,1,0,0
3,2013-01-09,5865,625,1,1,0,0
4,2013-01-10,6769,725,1,1,0,0
5,2013-01-11,6557,689,1,1,0,0
6,2013-01-12,5552,576,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,5492,628,1,0,0,0
2,2013-01-15,4505,525,1,0,0,0
3,2013-01-16,5131,566,1,0,0,0
4,2013-01-17,5962,678,1,0,0,0
5,2013-01-18,6242,665,1,0,0,0
6,2013-01-19,5441,560,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,7064,712,1,1,0,0
2,2013-01-22,6785,705,1,1,0,0
3,2013-01-23,6138,630,1,1,0,0
4,2013-01-24,6529,692,1,1,0,0
5,2013-01-25,6175,657,1,1,0,0
6,2013-01-26,5117,523,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,5259,610,1,0,0,0
2,2013-01-29,4697,519,1,0,0,0
3,2013-01-30,5525,593,1,0,0,0
4,2013-01-31,6993,745,1,0,0,0
5,2013-02-01,6386,641,1,0,0,0
6,2013-02-02,5923,542,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,8877,877,1,1,0,0
2,2013-02-05,7687,783,1,1,0,0
3,2013-02-06,6393,726,1,1,0,0
4,2013-02-07,6241,699,1,1,0,0
5,2013-02-08,6386,707,1,1,0,0
6,2013-02-09,4903,529,1,0,0,0
7,2013-02-10,0,0,0,0,0,0
1,2013-02-11,2515,288,1,0,0,0
2,2013-02-12,6605,715,1,0,0,0
3,2013-02-13,6225,660,1,0,0,0
4,2013-02-14,6684,736,1,0,0,0
5,2013-02-15,5629,603,1,0,0,0
6,2013-02-16,5302,562,1,0,0,0
7,2013-02-17,0,0,0,0,0,0
1,2013-02-18,9351,866,1,1,0,0
2,2013-02-19,6899,659,1,1,0,0
3,2013-02-20,6437,662,1,1,0,0
4,2013-02-21,6783,713,1,1,0,0
5,2013-02-22,7037,744,1,1,0,0
